,Preço Atual,Preço Original,Nome do Produto,Marca,Revendedor,Link
1,R$2.99,R$2.99,"chocolate kit kat ao leite nestlé - 41,5g",nestlé,Amercianas,https://www.americanas.com.br/produto/44414152/chocolate-kit-kat-ao-leite-nestle-41-5g?pfm_carac=kit-kat&pfm_index=1&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e04bc461729c3bbf18f55eb
2,R$3.49,R$3.49,"chocolate kit kat ao leite nestlé - 41,5g",nestlé,ESTAÇÃO DOCES IMPORTS/BEBIDAS,https://www.americanas.com.br/produto/5229955551/chocolate-kit-kat-ao-leite-41-5g-nestle?pfm_carac=kit-kat&pfm_index=8&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=629e0f812376eb9c72abb836
3,R$6.75,R$6.75,"chocolate kit kat ao leite nestlé - 41,5g",nestlé,Drogal,https://www.americanas.com.br/produto/5416375949/chocolate-nestle-kitkat-ao-leite-41-5g?pfm_carac=kit-kat&pfm_index=10&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=63d276d5401db3b86b53aac5
4,R$4.38,R$4.38,"chocolate kit kat ao leite nestlé - 41,5g",nestlé,Rede de farmácias Biomax,https://www.americanas.com.br/produto/6015920707/chocolate-kit-kat-ao-leite-1-unidade-com-41-5g?pfm_carac=kit-kat&pfm_index=11&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=633389889064f2befbf3a90e
5,R$5.58,R$5.58,"chocolate kit kat ao leite nestlé - 41,5g",nestlé,caroline shop store,https://www.americanas.com.br/produto/7480688083/chocolate-kit-kat-ao-leite-nestle-41-5g?pfm_carac=kit-kat&pfm_index=16&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=65948277cc553093855b5fa5
6,R$5.85,R$5.85,"chocolate kit kat ao leite nestlé - 41,5g",nestlé,Magazine Luiza,https://www.google.com/url?q=https://www.magazineluiza.com.br/chocolate-kitkat-nestle-415g/p/ke7652ckk2/me/chob/%3Fseller_id%3Dcasasantaluzia2%26srsltid%3DAfmBOooxGDev6L2L73Jh0XbywTJ_H2KRUw-jrl_qjQnNovoiVw4vzLoi2sw&opi=95576897&sa=U&ved=0ahUKEwjr5rCIjsKHAxVzkZUCHav_D8QQ1ykIHg&usg=AOvVaw1HkXPhBoiDUdHlmXksSDmx
7,R$4.99,R$4.99,"chocolate kit kat ao leite nestlé - 41,5g",nestlé,Farmácia Indiana,https://www.google.com/url?q=https://www.farmaciaindiana.com.br/chocolate-kit-kat-ao-leite/p%3Fidsku%3D60804%26srsltid%3DAfmBOoqYBHkR_Q3lOHKuYHhvbKPlW1HxO0fpH-HMt_yajZEIyIsTJ10gCh8&opi=95576897&sa=U&ved=0ahUKEwjr5rCIjsKHAxVzkZUCHav_D8QQ1ykIIQ&usg=AOvVaw1KFXRIMZC_60ZaSCSwRsOm
8,R$5.10,R$5.10,"chocolate kit kat ao leite nestlé - 41,5g",nestlé,Casa Santa Luzia,https://www.google.com/url?q=https://www.santaluzia.com.br/chocolate-kit-kat-nestle-415g--872199/p%3Futm_source%3Dgoogle%26utm_medium%3Dcpc%26utm_campaign%3Dshopping%26utm_term%3D5355%26srsltid%3DAfmBOoqaIcHR49fGBz3Bow6Wahn4-kL9Fe5BHK3jwWJLWLFijq5phg10Cos&opi=95576897&sa=U&ved=0ahUKEwjr5rCIjsKHAxVzkZUCHav_D8QQ1ykIJA&usg=AOvVaw0EmDKGdNpgEyA_QwvXy18A
9,R$3.99,R$3.99,"chocolate kit kat ao leite nestlé - 41,5g",nestlé,Drogalider,https://www.google.com/url?q=https://www.drogalider.com.br/choco-kitkat-415g/p%3Fsrsltid%3DAfmBOoqdNvbRknsORBJAjC5qKLg17ctEvSIeugBbe0gMRy6TjlkNnOIUQZw&opi=95576897&sa=U&ved=0ahUKEwjr5rCIjsKHAxVzkZUCHav_D8QQ1ykIKg&usg=AOvVaw3ZjwLFJvEFlwOLxrh1Laod
10,R$2.99,R$2.99,"chocolate kit kat ao leite nestlé - 41,5g",nestlé,Central Max Supermercados,https://www.google.com/url?q=https://centralmaxsupermercados.com.br/presidenteepitacio/produto/biscoito-nestle-kit-kat-ao-leite-415g/&opi=95576897&sa=U&ved=0ahUKEwjr5rCIjsKHAxVzkZUCHav_D8QQ1ykILQ&usg=AOvVaw1yWFgwg1ku1nYKyECSVJ_v
11,R$3.99,R$3.99,"chocolate kit kat ao leite nestlé - 41,5g",nestlé,Supermercados Casa do Sabão,https://www.google.com/url?q=https://www.casadosabao.com.br/chocolate-kit-kat-ao-leite-41-5g-607338-7613033353321/p%3Fidsku%3D30698%26srsltid%3DAfmBOooOUwOgaJSVtgh4WkqxGKtqe5zJ7eUUeTuyFg0zaBIE3sNEdZxa738&opi=95576897&sa=U&ved=0ahUKEwjr5rCIjsKHAxVzkZUCHav_D8QQ1ykIMA&usg=AOvVaw1MmBmVy1yO-ZVRrq7YWjWl
12,R$5.26,R$5.26,"chocolate kit kat ao leite nestlé - 41,5g",nestlé,Shoptime,https://www.google.com/url?q=https://www.casadosabao.com.br/chocolate-kit-kat-ao-leite-41-5g-607338-7613033353321/p%3Fidsku%3D30698%26srsltid%3DAfmBOooOUwOgaJSVtgh4WkqxGKtqe5zJ7eUUeTuyFg0zaBIE3sNEdZxa738&opi=95576897&sa=U&ved=0ahUKEwjr5rCIjsKHAxVzkZUCHav_D8QQ1ykIMA&usg=AOvVaw1MmBmVy1yO-ZVRrq7YWjWl
13,R$5.26,R$5.26,"chocolate kit kat ao leite nestlé - 41,5g",nestlé,Submarino,https://www.google.com/url?q=https://www.submarino.com.br/produto/7497328891/chocolate-kitkat-nestle-41-5g%3FofferId%3D664df9a9f85575c5690b115d%26opn%3DYSMESP&opi=95576897&sa=U&ved=0ahUKEwjr5rCIjsKHAxVzkZUCHav_D8QQ1ykINg&usg=AOvVaw0OsBycNMdwRLVUMVjthTYd
14,R$3.59,R$3.59,"chocolate kit kat ao leite nestlé - 41,5g",nestlé,Pão de Açúcar,https://www.google.com/url?q=https://www.paodeacucar.com/produto/180880%3FstoreId%3D461%26isGoogleShopping%3Dtrue&opi=95576897&sa=U&ved=0ahUKEwisvLffj8KHAxWropUCHZ4iAWoQ1ykIHQ&usg=AOvVaw2zBeoJayvHIus3iN5-R_s8
15,R$2.99,R$2.99,"chocolate kit kat ao leite nestlé - 41,5g",nestlé,Mano´s Doces,https://www.google.com/url?q=https://www.manosdoces.com.br/barra-de-chocolate-sabor-ao-leite-com-41-5g--kit-kat/p%3Fidsku%3D470%26srsltid%3DAfmBOoodus_YXVbQ8E2inpr2QXBIDVezt3pHlJrZLLUn8swSNV0Q5chxkRY&opi=95576897&sa=U&ved=0ahUKEwisvLffj8KHAxWropUCHZ4iAWoQ1ykIIA&usg=AOvVaw1DBDMapWu6kXnOa8vDyknK
